Sector,Area,Basis,Measure,Units,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Private nonfarm,New Mexico,All workers,Labor productivity,Index (2017=100),89.459,87.553,95.770,97.923,95.860,97.470,94.873,99.178,102.126,102.576,100.000,102.150,107.614,113.116,111.462,108.619,110.286
Private nonfarm,New York,All workers,Labor productivity,Index (2017=100),89.985,86.703,94.650,98.185,96.013,99.243,97.296,98.218,97.232,99.351,100.000,101.444,104.571,113.989,114.236,110.503,108.494
Private nonfarm,North Carolina,All workers,Labor productivity,Index (2017=100),91.412,96.885,99.224,100.597,99.270,96.966,98.010,99.296,98.960,98.516,100.000,100.927,100.239,105.522,105.301,103.353,105.774
Private nonfarm,North Dakota,All workers,Labor productivity,Index (2017=100),68.778,72.742,77.353,80.406,83.548,91.698,92.687,99.258,100.095,98.163,100.000,101.959,103.915,107.814,105.760,98.314,99.667
Private nonfarm,Ohio,All workers,Labor productivity,Index (2017=100),92.065,91.959,94.168,95.803,97.324,95.080,96.241,99.184,97.845,98.881,100.000,99.775,102.653,106.826,109.515,106.499,107.278
Private nonfarm,Oklahoma,All workers,Labor productivity,Index (2017=100),82.844,85.084,87.649,86.457,89.983,92.020,93.073,97.809,104.040,101.574,100.000,98.807,101.252,102.323,100.287,98.639,100.616
Private nonfarm,Oregon,All workers,Labor productivity,Index (2017=100),84.420,88.968,93.069,94.518,95.768,95.133,95.176,95.113,96.963,97.980,100.000,101.862,103.084,112.879,114.729,111.460,111.063
Private nonfarm,Pennsylvania,All workers,Labor productivity,Index (2017=100),87.589,89.872,91.254,94.040,94.436,96.181,96.981,97.779,98.484,99.498,100.000,98.404,98.626,103.945,104.758,102.424,103.329
Private nonfarm,Rhode Island,All workers,Labor productivity,Index (2017=100),91.969,89.171,94.865,98.123,99.877,100.456,99.592,98.870,99.725,102.041,100.000,98.458,101.500,108.131,104.628,102.950,101.389
Private nonfarm,South Carolina,All workers,Labor productivity,Index (2017=100),89.861,90.190,93.630,96.970,98.911,97.140,96.426,98.723,97.814,99.332,100.000,100.764,102.512,107.883,106.045,103.622,104.611
Private nonfarm,South Dakota,All workers,Labor productivity,Index (2017=100),87.486,90.060,92.285,93.177,96.172,97.048,95.280,97.992,99.099,99.066,100.000,100.029,100.226,100.619,102.076,100.139,97.433
Private nonfarm,Tennessee,All workers,Labor productivity,Index (2017=100),89.356,91.267,93.689,96.709,97.310,99.969,99.474,98.218,100.572,98.429,100.000,100.916,102.404,106.887,110.630,109.914,112.898
Private nonfarm,Texas,All workers,Labor productivity,Index (2017=100),88.595,87.617,92.322,93.399,92.294,93.709,96.022,95.014,98.694,99.732,100.000,102.039,103.882,106.835,106.891,103.189,106.564
Private nonfarm,Utah,All workers,Labor productivity,Index (2017=100),88.877,88.859,89.933,93.928,97.523,95.760,95.444,95.981,98.213,98.978,100.000,103.210,107.542,114.223,117.634,115.039,116.077
Private nonfarm,Vermont,All workers,Labor productivity,Index (2017=100),85.845,90.224,93.587,98.034,98.806,97.946,94.924,99.111,98.510,98.790,100.000,101.801,103.012,106.897,109.749,108.491,108.206
Private nonfarm,Virginia,All workers,Labor productivity,Index (2017=100),89.196,90.921,96.464,97.120,97.108,96.578,98.877,97.196,98.225,98.391,100.000,100.978,105.006,111.121,114.782,115.167,114.121
Private nonfarm,Washington,All workers,Labor productivity,Index (2017=100),83.288,84.806,86.447,91.166,90.983,92.215,95.543,97.178,97.687,97.748,100.000,105.705,109.921,117.559,123.254,119.871,124.929
Private nonfarm,West Virginia,All workers,Labor productivity,Index (2017=100),85.925,89.506,94.040,94.651,96.156,94.014,93.196,95.474,96.189,97.376,100.000,101.528,101.057,106.555,103.148,101.231,106.637
Private nonfarm,Wisconsin,All workers,Labor productivity,Index (2017=100),96.581,94.699,97.656,100.334,100.730,101.034,100.098,100.721,102.357,101.879,100.000,103.056,106.094,109.648,108.336,107.462,108.181
Private nonfarm,Wyoming,All workers,Labor productivity,Index (2017=100),103.100,103.416,108.762,104.195,101.282,96.166,95.392,93.515,101.525,103.635,100.000,97.990,97.330,101.054,98.883,97.714,102.393
Private nonfarm,Midwest,All workers,Labor productivity,Index (2017=100),92.489,93.171,95.081,97.995,97.968,98.026,97.818,99.609,99.547,99.993,100.000,101.443,102.905,106.939,108.342,107.107,107.807
Private nonfarm,Northeast,All workers,Labor productivity,Index (2017=100),90.635,90.285,94.445,97.334,96.233,98.167,97.732,97.964,98.424,99.324,100.000,100.949,102.930,110.441,110.956,108.387,108.088
Private nonfarm,South,All workers,Labor productivity,Index (2017=100),89.492,90.787,94.086,96.431,96.420,96.473,97.079,97.201,98.842,99.287,100.000,100.833,102.740,107.008,107.551,105.844,108.020
Private nonfarm,West,All workers,Labor productivity,Index (2017=100),85.163,86.801,90.415,93.003,93.237,93.619,93.968,94.850,96.699,97.450,100.000,102.218,106.308,114.367,117.328,113.248,115.381
